Date : 2021-03-08 17:05:08
Directory : /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src
Total : 58 files,  2852 codes, 69 comments, 420 blanks, all 3341 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/reducers/userReducer.js                                                | JavaScript |         15 |          0 |          5 |         20 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/selectors/userSelector.js                                              | JavaScript |          1 |          0 |          1 |          2 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/setupTests.js                                                          | JavaScript |          1 |          0 |          1 |          2 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/store.js                                                               | JavaScript |          5 |          0 |          3 |          8 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/utils/changePosition.js                                                | JavaScript |         24 |          0 |          6 |         30 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/utils/collisionChecker.js                                              | JavaScript |         16 |          5 |          5 |         26 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/utils/handleKeyPress.js                                                | JavaScript |         41 |          1 |         13 |         55 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/utils/socketController.js                                              | JavaScript |          5 |          0 |          5 |         10 |
| Total                                                                                                                                 |            |      2,852 |         69 |        420 |      3,341 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
